"Plot","Crop_ID","Corn_weed_management","Harvested Weight (lbs.)","% Moisture","Harvest strip length (ft)","Harvest strip width (ft)","Harvest strip area (acres)","Harvest strip area (hectares)","Yield (lb/acre @ 0%)","Yield (lb/acre @ 15.5%)","bu/acre at 15.5% moisture","Mg/ha at 15.5% moisture","Year","Crop","ton/ac at 15.5% moisture","Mg/ha at 0% moisture","ton/ac at 0% moisture","Block"
11,"C3","conventional",1200,17.7,275,15,0.0946969696969697,0.0383522727272727,10429.056,12342.0781065089,220.394251901944,13.8231274792899,"2017","corn",6.17103905325444,8.91814676083222,5.34289095519865,"1"
11,"C3","low",1215,18.3,275,15,0.0946969696969697,0.0383522727272727,10482.4368,12405.2506508876,221.522333051564,13.8938807289941,"2017","corn",6.20262532544379,8.96379401870586,5.37023837700761,"1"
14,"C4","conventional",970,17.4,275,15,0.0946969696969697,0.0383522727272727,8460.8832,10012.8795266272,178.801420118343,11.2144250698225,"2017","corn",5.00643976331361,7.23511294827257,4.3345798816568,"1"
14,"C4","low",950,17.6,275,15,0.0946969696969697,0.0383522727272727,8266.368,9782.68402366864,174.69078613694,10.9566061065089,"2017","corn",4.89134201183432,7.06877813323153,4.2349281487743,"1"
19,"C2","conventional",970,17.2,275,15,0.0946969696969697,0.0383522727272727,8481.3696,10037.1237869822,179.234353338969,11.2415786414201,"2017","corn",5.01856189349112,7.25263138156137,4.34507523245985,"1"
19,"C2","low",965,17.2,275,15,0.0946969696969697,0.0383522727272727,8437.6512,9985.38603550296,178.310464919696,11.1836323597633,"2017","corn",4.99269301775148,7.21524668371827,4.32267793744717,"1"
23,"C3","conventional",1060,17.9,275,15,0.0946969696969697,0.0383522727272727,9189.9456,10875.6752662722,194.208486897718,12.1807562982248,"2017","corn",5.43783763313609,7.85855245046764,4.70808453085376,"2"
23,"C3","low",1075,18.2,275,15,0.0946969696969697,0.0383522727272727,9285.936,10989.2733727811,196.237024513948,12.3079861775148,"2017","corn",5.49463668639053,7.94063624355793,4.75726120033812,"2"
27,"C2","conventional",1010,17.6,275,15,0.0946969696969697,0.0383522727272727,8788.4544,10400.5377514793,185.723888419273,11.6486022816568,"2017","corn",5.20026887573965,7.51522727848826,4.50239729501268,"2"
27,"C2","low",1000,17.8,275,15,0.0946969696969697,0.0383522727272727,8680.32,10272.5680473373,183.438715131023,11.5052762130178,"2017","corn",5.13628402366864,7.42275884710823,4.44699915469146,"2"
29,"C4","conventional",1170,18,275,15,0.0946969696969697,0.0383522727272727,10131.264,11989.6615384615,214.101098901099,13.4284209230769,"2017","corn",5.99483076923077,8.66349736972704,5.19032967032967,"2"
29,"C4","low",1175,18,275,15,0.0946969696969697,0.0383522727272727,10174.56,12040.899408284,215.016060862215,13.4858073372781,"2017","corn",6.02044970414201,8.70052086276007,5.21251056635672,"2"
32,"C4","conventional",1090,17,275,15,0.0946969696969697,0.0383522727272727,9553.632,11306.0733727811,201.89416737109,12.6628021775148,"2017","corn",5.65303668639053,8.16954979194503,4.89440405748098,"3"
32,"C4","low",1030,17.3,275,15,0.0946969696969697,0.0383522727272727,8995.1136,10645.104852071,190.091158072697,11.9225174343195,"2017","corn",5.3225524260355,7.69194673181905,4.60827049873204,"3"
35,"C2","conventional",1055,17.2,275,15,0.0946969696969697,0.0383522727272727,9224.5824,10916.6655621302,194.94045646661,12.2266654295858,"2017","corn",5.45833278106509,7.88817124489406,4.7258292476754,"3"
35,"C2","low",1010,17.3,275,15,0.0946969696969697,0.0383522727272727,8820.4512,10438.4037869823,186.400067624683,11.6910122414201,"2017","corn",5.21920189349113,7.54258854285169,4.51878951817413,"3"
38,"C3","conventional",1155,18.4,275,15,0.0946969696969697,0.0383522727272727,9952.5888,11778.2115976331,210.325207100592,13.1915969893491,"2017","corn",5.88910579881657,8.51070773506394,5.09879289940828,"3"
38,"C3","low",1175,18.2,275,15,0.0946969696969697,0.0383522727272727,10149.744,12011.5313609467,214.491631445478,13.4529151242604,"2017","corn",6.00576568047337,8.67930008016797,5.19979712595097,"3"
45,"C2","conventional",1070,17,275,15,0.0946969696969697,0.0383522727272727,9378.336,11098.6224852071,198.189687235841,12.430457183432,"2017","corn",5.54931124260355,8.01964979576255,4.80459847844463,"4"
45,"C2","low",1075,16.8,275,15,0.0946969696969697,0.0383522727272727,9444.864,11177.3538461538,199.595604395604,12.5186363076923,"2017","corn",5.58867692307692,8.07653955334988,4.83868131868132,"4"
48,"C3","conventional",1315,18.7,275,15,0.0946969696969697,0.0383522727272727,11289.6432,13360.5244970414,238.580794590025,14.9637874366864,"2017","corn",6.68026224852071,9.65405641076541,5.78377683854607,"4"
48,"C3","low",1230,18.6,275,15,0.0946969696969697,0.0383522727272727,10572.8832,12512.2878106509,223.43371090448,14.013762347929,"2017","corn",6.25614390532544,9.04113699866387,5.41657480980558,"4"
49,"C4","conventional",1240,17.7,275,15,0.0946969696969697,0.0383522727272727,10776.6912,12753.4807100592,227.740726965342,14.2838983952663,"2017","corn",6.37674035502959,9.21541831952663,5.52098732037194,"4"
49,"C4","low",1280,18,275,15,0.0946969696969697,0.0383522727272727,11083.776,13116.8946745562,234.230262045647,14.690922035503,"2017","corn",6.55844733727811,9.47801421645352,5.67830938292477,"4"
13,"C2","conventional",920,14.8,275,15,0.0946969696969697,0.0383522727272727,8277.3504,9795.68094674556,174.922874049028,10.971162660355,"2018","corn",4.89784047337278,7.07816945829357,4.24055452240068,"1"
13,"C2","low",1022,14.8,275,15,0.0946969696969697,0.0383522727272727,9195.05664,10881.7238343195,194.31649704142,12.1875306944379,"2018","corn",5.44086191715976,7.86292302866959,4.71070295857988,"1"
15,"C3","conventional",1055,14.9,275,15,0.0946969696969697,0.0383522727272727,9480.8208,11219.9062721893,200.355469146238,12.5662950248521,"2018","corn",5.60995313609468,8.10728711280779,4.85710228233305,"1"
15,"C3","low",1092,15.1,275,15,0.0946969696969697,0.0383522727272727,9790.26048,11586.1070769231,206.894769230769,12.9764399261538,"2018","corn",5.79305353846154,8.37189672655087,5.01563076923077,"1"
18,"C4","conventional",1180,15.1,275,15,0.0946969696969697,0.0383522727272727,10579.2192,12519.786035503,223.567607776839,14.0221603597633,"2018","corn",6.25989301775148,9.04655507081504,5.41982079459003,"1"
18,"C4","low",1234,15.4,275,15,0.0946969696969697,0.0383522727272727,11024.25984,13046.4613491124,232.972524091293,14.6120367110059,"2018","corn",6.52323067455621,9.42712045871349,5.64781876584953,"1"
24,"C2","conventional",1082,14.9,275,15,0.0946969696969697,0.0383522727272727,9723.45792,11507.0507928994,205.483049873204,12.8878968880473,"2018","corn",5.7535253964497,8.31477218583699,4.98140726965342,"2"
24,"C2","low",1128,14.9,275,15,0.0946969696969697,0.0383522727272727,10136.83968,11996.2599763314,214.218928148774,13.4358111734911,"2018","corn",5.99812998816568,8.66826527322008,5.19318613693998,"2"
26,"C3","conventional",1107,15.3,275,15,0.0946969696969697,0.0383522727272727,9901.36224,11717.5884497041,209.242650887574,13.1236990636686,"2018","corn",5.85879422485207,8.4669026217217,5.07254911242604,"2"
26,"C3","low",1099,15.2,275,15,0.0946969696969697,0.0383522727272727,9841.41312,11646.6427455621,207.975763313609,13.0442398750296,"2018","corn",5.82332137278107,8.41563862905135,5.04183668639053,"2"
28,"C4","conventional",1162,15.2,275,15,0.0946969696969697,0.0383522727272727,10405.57056,12314.2846863905,219.897940828402,13.7919988487574,"2018","corn",6.15714234319527,8.89806377339187,5.33085917159763,"2"
28,"C4","low",1159,14.9,275,15,0.0946969696969697,0.0383522727272727,10415.42304,12325.9444260355,220.10615046492,13.8050577571598,"2018","corn",6.16297221301775,8.90648887558694,5.33590667793745,"2"
34,"C2","conventional",826.3,14.9,275,15,0.0946969696969697,0.0383522727272727,7425.594528,8787.68583195266,156.922961284869,9.84220813178698,"2018","corn",4.39384291597633,6.34981169792708,3.80419300084531,"3"
34,"C2","low",849.9,15,275,15,0.0946969696969697,0.0383522727272727,7628.7024,9028.05017751479,161.215181741336,10.1114161988166,"2018","corn",4.5140250887574,6.52349432181714,3.90824683009298,"3"
36,"C3","conventional",1201,15,275,15,0.0946969696969697,0.0383522727272727,10780.176,12757.6047337278,227.81437024514,14.2885173017751,"2018","corn",6.37880236686391,9.21839825920977,5.52277261200338,"3"
36,"C3","low",1185,14.9,275,15,0.0946969696969697,0.0383522727272727,10649.0736,12602.453964497,225.04382079459,14.1147484402367,"2018","corn",6.30122698224852,9.10628931628173,5.45560777683855,"3"
37,"C4","conventional",1253,15.1,275,15,0.0946969696969697,0.0383522727272727,11233.69632,13294.3151715976,237.398485207101,14.8896329921893,"2018","corn",6.64715758579882,9.60621483367055,5.75511479289941,"3"
37,"C4","low",1267,15.3,275,15,0.0946969696969697,0.0383522727272727,11332.45344,13411.1875029586,239.48549112426,15.0205300033136,"2018","corn",6.70559375147929,9.69066451826684,5.80570887573965,"3"
44,"C2","conventional",982.2,15,275,15,0.0946969696969697,0.0383522727272727,8816.2272,10433.4049704142,186.310803043111,11.6854135668639,"2018","corn",5.2167024852071,7.53897649475091,4.51662552831784,"4"
44,"C2","low",1054,15,275,15,0.0946969696969697,0.0383522727272727,9460.704,11196.099408284,199.9303465765,12.5396313372781,"2018","corn",5.59804970414201,8.09008473372781,4.84679628064243,"4"
46,"C4","conventional",1108,15.1,275,15,0.0946969696969697,0.0383522727272727,9933.70752,11755.866887574,209.926194420964,13.1665709140828,"2018","corn",5.87793344378698,8.49456188005345,5.08911986475063,"4"
46,"C4","low",1133,15,275,15,0.0946969696969697,0.0383522727272727,10169.808,12035.275739645,214.915638207946,13.4795088284024,"2018","corn",6.01763786982249,8.69645730864669,5.21007607776839,"4"
47,"C3","conventional",1046,15.1,275,15,0.0946969696969697,0.0383522727272727,9377.85024,11098.0476213018,198.17942180896,12.429813335858,"2018","corn",5.54902381065089,8.01923441023096,4.80434961961116,"4"
47,"C3","low",1036,15,275,15,0.0946969696969697,0.0383522727272727,9299.136,11004.8946745562,196.515976331361,12.325482035503,"2018","corn",5.50244733727811,7.95192389387288,4.76402366863905,"4"
12,"C4","conventional",1147,21.1,275,15,0.0946969696969697,0.0383522727272727,9556.62048,11309.610035503,201.957322062553,12.6667632397633,"2019","corn",5.65480501775148,8.17210531597633,4.89593508030431,"1"
12,"C4","low",1128,20.9,275,15,0.0946969696969697,0.0383522727272727,9422.13888,11150.4602130177,199.115360946746,12.4885154385799,"2019","corn",5.57523010650887,8.05710673456766,4.82703905325444,"1"
16,"C3","conventional",1172,20,275,15,0.0946969696969697,0.0383522727272727,9901.056,11717.226035503,209.23617920541,13.1232931597633,"2019","corn",5.85861301775148,8.4666407482344,5.07239222316145,"1"
16,"C3","low",1132,21.2,275,15,0.0946969696969697,0.0383522727272727,9419.68896,11147.5608994083,199.063587489434,12.4852682073373,"2019","corn",5.57378044970414,8.05501174666921,4.82578393913778,"1"
19,"C2","conventional",1189,21.1,275,15,0.0946969696969697,0.0383522727272727,9906.55776,11723.7369940828,209.352446322908,13.1305854333728,"2019","corn",5.86186849704142,8.47134544088567,5.07521081994928,"1"
19,"C2","low",1201,20.9,275,15,0.0946969696969697,0.0383522727272727,10031.90496,11872.0768757396,212.001372781065,13.2967261008284,"2019","corn",5.93603843786982,8.57853296827639,5.13942721893491,"1"
21,"C4","conventional",1131,21.2,275,15,0.0946969696969697,0.0383522727272727,9411.36768,11137.7132307692,198.887736263736,12.4742388184615,"2019","corn",5.56885661538461,8.04789601191067,4.82152087912088,"2"
21,"C4","low",1170,20.8,275,15,0.0946969696969697,0.0383522727272727,9785.3184,11580.2584615385,206.79032967033,12.9698894769231,"2019","corn",5.79012923076923,8.36767063027296,5.0130989010989,"2"
25,"C3","conventional",1112,21.3,275,15,0.0946969696969697,0.0383522727272727,9241.52064,10936.710816568,195.298407438715,12.2491161145562,"2019","corn",5.46835540828402,7.9026555577782,4.73450684699915,"2"
25,"C3","low",1078,21.5,275,15,0.0946969696969697,0.0383522727272727,8936.1888,10575.3713609467,188.845917159763,11.8444159242604,"2019","corn",5.28768568047337,7.64155866081313,4.57808284023668,"2"
27,"C2","conventional",1061,21.2,275,15,0.0946969696969697,0.0383522727272727,8828.87808,10448.3764260355,186.57815046492,11.7021815971598,"2019","corn",5.22418821301775,7.54979457881275,4.52310667793745,"2"
27,"C2","low",1149,21.3,275,15,0.0946969696969697,0.0383522727272727,9549.01728,11300.6121656805,201.796645815723,12.6566856255621,"2019","corn",5.65030608284024,8.16560362939492,4.89203989856297,"2"
31,"C4","conventional",1144,20.7,275,15,0.0946969696969697,0.0383522727272727,9579.94752,11337.216,202.450285714286,12.69768192,"2019","corn",5.668608,8.1920528516129,4.90788571428571,"3"
31,"C4","low",1156,20.9,275,15,0.0946969696969697,0.0383522727272727,9656.02176,11427.2446863905,204.057940828402,12.7985140487574,"2019","corn",5.71362234319527,8.257105837908,4.94685917159763,"3"
33,"C3","conventional",1118,21.6,275,15,0.0946969696969697,0.0383522727272727,9255.96672,10953.8067692308,195.603692307692,12.2682635815385,"2019","corn",5.47690338461538,7.91500876228288,4.74190769230769,"3"
33,"C3","low",1117,21.5,275,15,0.0946969696969697,0.0383522727272727,9259.4832,10957.9682840237,195.678005071851,12.2729244781065,"2019","corn",5.47898414201183,7.91801579232678,4.74370921386306,"3"
35,"C2","conventional",1234,20.8,275,15,0.0946969696969697,0.0383522727272727,10320.58368,12213.7084970414,218.101937447168,13.6793535166864,"2019","corn",6.10685424852071,8.82538936560412,5.28731969568893,"3"
35,"C2","low",1210,20.6,275,15,0.0946969696969697,0.0383522727272727,10145.4144,12006.4075739645,214.400135249366,13.4471764828402,"2019","corn",6.00320378698225,8.67559773086467,5.19757903634827,"3"
42,"C3","conventional",1091,20.8,275,15,0.0946969696969697,0.0383522727272727,9124.60032,10798.3435739645,192.827563820795,12.0941448028402,"2019","corn",5.39917178698225,7.80267406634854,4.67460760777684,"4"
42,"C3","low",1146,21.1,275,15,0.0946969696969697,0.0383522727272727,9548.28864,11299.7498698225,201.781247675402,12.6557198542012,"2019","corn",5.64987493491124,8.16498055109754,4.89166661031276,"4"
43,"C4","conventional",1155,20.9,275,15,0.0946969696969697,0.0383522727272727,9647.6688,11417.3595266272,203.881420118343,12.7874426698225,"2019","corn",5.70867976331361,8.2499630127887,4.94257988165681,"4"
43,"C4","low",1150,20.6,275,15,0.0946969696969697,0.0383522727272727,9642.336,11411.0485207101,203.768723584108,12.7803743431953,"2019","corn",5.70552426035503,8.24540280206146,4.93984784446323,"4"
45,"C2","conventional",1143,20.9,275,15,0.0946969696969697,0.0383522727272727,9547.43328,11298.7376094675,201.763171597633,12.6545861226035,"2019","corn",5.64936880473373,8.16424911135713,4.89122840236686,"4"
45,"C2","low",1190,20.5,275,15,0.0946969696969697,0.0383522727272727,9990.288,11822.826035503,211.121893491124,13.2415651597633,"2019","corn",5.91141301775148,8.54294526436343,5.11810650887574,"4"
11,"C3","conventional",1192,14.8,275,15,0.0946969696969697,0.0383522727272727,10724.56704,12691.7953136095,226.63920202874,14.2148107512426,"2020","corn",6.34589765680473,9.17084564596297,5.49428368554522,"1"
11,"C3","low",1086,15,275,15,0.0946969696969697,0.0383522727272727,9747.936,11536.0189349112,206.000338123415,12.9203412071006,"2020","corn",5.76800946745562,8.33570400458103,4.99394759087067,"1"
13,"C2","conventional",1021,14.6,275,15,0.0946969696969697,0.0383522727272727,9207.62304,10896.5953136095,194.582059171598,12.2041867512426,"2020","corn",5.44829765680473,7.87366887176942,4.71714082840237,"1"
13,"C2","low",1020,14.4,275,15,0.0946969696969697,0.0383522727272727,9220.1472,10911.4168047337,194.846728655959,12.2207868213018,"2020","corn",5.45570840236686,7.88437859438824,4.72355705832629,"1"
17,"C4","conventional",1061,14.7,275,15,0.0946969696969697,0.0383522727272727,9557.14848,11310.234887574,201.968480135249,12.6674630740828,"2020","corn",5.65511744378698,8.17255682198893,4.89620557903635,"1"
17,"C4","low",1128,14.9,275,15,0.0946969696969697,0.0383522727272727,10136.83968,11996.2599763314,214.218928148774,13.4358111734911,"2020","corn",5.99812998816568,8.66826527322008,5.19318613693998,"1"
22,"C4","conventional",1159,14.5,275,15,0.0946969696969697,0.0383522727272727,10464.3792,12383.8807100592,221.140726965342,13.8699463952663,"2020","corn",6.19194035502959,8.94835251307501,5.36098732037194,"2"
22,"C4","low",1148,14.7,275,15,0.0946969696969697,0.0383522727272727,10340.81664,12237.6528284024,218.529514792899,13.7061711678107,"2020","corn",6.11882641420118,8.84269107600687,5.29768520710059,"2"
23,"C3","conventional",1123,14.7,275,15,0.0946969696969697,0.0383522727272727,10115.62464,11971.1534201183,213.770596787828,13.4076918305325,"2020","corn",5.98557671005917,8.6501237616339,5.18231749788673,"2"
23,"C3","low",1067,14.7,275,15,0.0946969696969697,0.0383522727272727,9611.19456,11374.1947455621,203.110620456467,12.7390981150296,"2020","corn",5.68709737278107,8.21877297743844,4.92389382924768,"2"
24,"C2","conventional",1065,14.4,275,15,0.0946969696969697,0.0383522727272727,9626.9184,11392.8028402367,203.442907861369,12.7599391810651,"2020","corn",5.69640142011834,8.2322188264936,4.93194928148774,"2"
24,"C2","low",1069,14.5,275,15,0.0946969696969697,0.0383522727272727,9651.7872,11422.2333727811,203.968453085376,12.7929013775148,"2020","corn",5.71111668639053,8.25348475968696,4.94468977176669,"2"
34,"C2","conventional",980.5,14.9,275,15,0.0946969696969697,0.0383522727272727,8811.32208,10427.6000946746,186.20714454776,11.6789121060355,"2020","corn",5.21380004733728,7.53478200389387,4.51411259509721,"3"
34,"C2","low",1032,15.4,275,15,0.0946969696969697,0.0383522727272727,9219.64032,10910.8169467456,194.836016906171,12.220114980355,"2020","corn",5.45540847337278,7.88394514861615,4.72329737954353,"3"
38,"C3","conventional",1112,14.9,275,15,0.0946969696969697,0.0383522727272727,9993.05472,11826.100260355,211.180361792054,13.2452322915976,"2020","corn",5.91305013017752,8.54531115586944,5.11952392223161,"3"
38,"C3","low",1087,15.2,275,15,0.0946969696969697,0.0383522727272727,9733.95456,11519.472852071,205.704872358411,12.9018095943195,"2020","corn",5.7597364260355,8.32374812536744,4.98678478444632,"3"
39,"C4","conventional",1049,14.8,275,15,0.0946969696969697,0.0383522727272727,9437.97888,11169.2057751479,199.450103127642,12.5095104681657,"2020","corn",5.58460288757396,8.0706519149456,4.83515401521555,"3"
39,"C4","low",1068,15,275,15,0.0946969696969697,0.0383522727272727,9586.368,11344.8142011834,202.585967878276,12.7061919053254,"2020","corn",5.67240710059172,8.19754316472609,4.91117497886729,"3"
41,"C4","conventional",1020,14.6,275,15,0.0946969696969697,0.0383522727272727,9198.6048,10885.9228402367,194.391479289941,12.1922335810651,"2020","corn",5.44296142011834,7.86595714907425,4.71252071005917,"4"
41,"C4","low",1071,14.7,275,15,0.0946969696969697,0.0383522727272727,9647.22528,11416.8346508876,203.872047337278,12.7868548089941,"2020","corn",5.70841732544379,8.24958374773812,4.9423526627219,"4"
44,"C2","conventional",1103,14.7,275,15,0.0946969696969697,0.0383522727272727,9935.47104,11757.9538934911,209.96346238377,13.1689083607101,"2020","corn",5.87897694674556,8.49606991013552,5.09002333051564,"4"
44,"C2","low",1020,14.9,275,15,0.0946969696969697,0.0383522727272727,9166.2912,10847.6818934911,193.708605240913,12.1494037207101,"2020","corn",5.42384094674556,7.83832498110326,4.6959661876585,"4"
48,"C3","conventional",1081,17,275,15,0.0946969696969697,0.0383522727272727,9474.7488,11212.7204733728,200.227151310228,12.5582469301775,"2020","corn",5.60636023668639,8.10209479366291,4.85399154691462,"4"
48,"C3","low",1103,17,275,15,0.0946969696969697,0.0383522727272727,9667.5744,11440.9164497041,204.302079459003,12.8138264236686,"2020","corn",5.72045822485207,8.26698478946364,4.95277768385461,"4"
