Plot,Crop_ID,Rot,Variety,Planted,Harvested,Year,Bale_lbs,Fresh_lb_p_ac,Fresh_ton_p_ac,Moisture,Dry_ton_p_ac
15,O3,3-year,INO9201,12-Apr-17,17-Jul-17,2017,176,440,0.22,27.1,0.16038
26,O3,3-year,INO9201,12-Apr-17,17-Jul-17,2017,230,575,0.2875,27.09815078,0.209592817
36,O3,3-year,INO9201,12-Apr-17,17-Jul-17,2017,130,325,0.1625,23.22553549,0.124758505
47,O3,3-year,INO9201,12-Apr-17,17-Jul-17,2017,228,570,0.285,23.7414745,0.217336798
12,O4,4-year,INO9201,12-Apr-17,17-Jul-17,2017,192,480,0.24,27.50893147,0.173978564
21,O4,4-year,INO9201,12-Apr-17,17-Jul-17,2017,215,537.5,0.26875,21.24613003,0.211651026
31,O4,4-year,INO9201,12-Apr-17,17-Jul-17,2017,180,450,0.225,19.89082224,0.18024565
43,O4,4-year,INO9201,12-Apr-17,17-Jul-17,2017,250,625,0.3125,20.82820828,0.247411849
16,O3,3-year,INO9201,24-Apr-18,20-Jul-18,2018,1706,4489.473684,2.244736842,8.79491761,2.047314086
25,O3,3-year,INO9201,24-Apr-18,20-Jul-18,2018,1441,3792.105263,1.896052632,13.93152302,1.631903623
33,O3,3-year,INO9201,24-Apr-18,20-Jul-18,2018,1024,2694.736842,1.347368421,10.98998232,1.19929287
42,O3,3-year,INO9201,24-Apr-18,20-Jul-18,2018,1440,3789.473684,1.894736842,9.274983671,1.719000309
17,O4,4-year,INO9201,24-Apr-18,20-Jul-18,2018,1383,3639.473684,1.819736842,9.4092827,1.648512658
22,O4,4-year,INO9201,24-Apr-18,20-Jul-18,2018,1705,4486.842105,2.243421053,8.548305513,2.051646567
39,O4,4-year,INO9201,24-Apr-18,20-Jul-18,2018,1116,2936.842105,1.468421053,14.76690919,1.251580649
41,O4,4-year,INO9201,24-Apr-18,20-Jul-18,2018,1282,3373.684211,1.686842105,6.88172043,1.570758347
11,O3,3-year,INO9201,16-Apr-19,24-Jul-19,2019,626,1565,0.7825,14.15577032,0.671731097
23,O3,3-year,INO9201,16-Apr-19,24-Jul-19,2019,573,1432.5,0.71625,16.42567958,0.59860107
38,O3,3-year,INO9201,16-Apr-19,24-Jul-19,2019,634,1585,0.7925,15.87248322,0.66671057
48,O3,3-year,INO9201,16-Apr-19,24-Jul-19,2019,422,1055,0.5275,12.65442404,0.460747913
14,O4,4-year,INO9201,16-Apr-19,24-Jul-19,2019,453,1132.5,0.56625,17.54822651,0.466883167
29,O4,4-year,INO9201,16-Apr-19,24-Jul-19,2019,366,915,0.4575,12.84570597,0.398730895
32,O4,4-year,INO9201,16-Apr-19,24-Jul-19,2019,528,1320,0.66,14.2206313,0.566143833
49,O4,4-year,INO9201,16-Apr-19,24-Jul-19,2019,346,865,0.4325,13.00221449,0.376265422
15,O3,3-year,INO9201,2-Apr-20,24-Jul-20,2020,348,870,0.435,7.897071872,0.400647737
26,O3,3-year,INO9201,2-Apr-20,24-Jul-20,2020,339,847.5,0.42375,9.934790947,0.381651323
36,O3,3-year,INO9201,2-Apr-20,24-Jul-20,2020,152,380,0.19,11.27012522,0.168586762
47,O3,3-year,INO9201,2-Apr-20,24-Jul-20,2020,248,620,0.31,11.42857143,0.274571429
18,O4,4-year,INO9201,2-Apr-20,24-Jul-20,2020,381,952.5,0.47625,6.716697936,0.444261726
28,O4,4-year,INO9201,2-Apr-20,24-Jul-20,2020,321,802.5,0.40125,8.275426406,0.368044852
37,O4,4-year,INO9201,2-Apr-20,24-Jul-20,2020,225,562.5,0.28125,6.967213115,0.261654713
46,O4,4-year,INO9201,2-Apr-20,24-Jul-20,2020,117,292.5,0.14625,8.145663632,0.134336967