Plot,Side,Crop,Crop_ID,sample area (m^2),Corn_weed_management,Year,Block,Dominance,Diversity,Richness,Evenness
11,E,corn,C3,18.532,low,2017,1,0.6369395743705986,1.5700076431711203,3,0.2123131914568662
11,W,corn,C3,18.532,conv,2017,1,0.5848589682078735,1.7098139113164372,3,0.1949529894026245
12,E,oat,O4,2,low,2017,1,0.6286103967914005,1.5908104687804618,4,0.15715259919785013
12,W,oat,O4,2,conv,2017,1,0.47156765979973597,2.1205864719914786,4,0.11789191494993399
13,E,soybean,S2,18.532,conv,2017,1,0.9801223052107895,1.0202808309570464,3,0.3267074350702632
13,W,soybean,S2,18.532,low,2017,1,0.31754702109866695,3.149139918051015,6,0.05292450351644449
14,E,corn,C4,18.532,conv,2017,1,0.29920384412830736,3.34220304860512,4,0.07480096103207684
14,W,corn,C4,18.532,low,2017,1,0.6241364447264761,1.6022137602271307,2,0.31206822236323806
15,E,oat,O3,2,low,2017,1,0.42950268206719994,2.328274168596554,6,0.07158378034453332
15,W,oat,O3,2,conv,2017,1,0.614226976685545,1.6280626510351928,5,0.122845395337109
16,E,soybean,S3,18.532,low,2017,1,0.40839614403473185,2.448602942526694,3,0.13613204801157727
16,W,soybean,S3,18.532,conv,2017,1,0.6363840730171133,1.5713781070273714,6,0.10606401216951888
17,E,soybean,S4,18.532,conv,2017,1,1,1,1,1
17,W,soybean,S4,18.532,low,2017,1,0.47706522827109266,2.0961494167664414,3,0.15902174275703088
18,E,alfalfa,A4,2,conv,2017,1,0.4632033207940773,2.158879168408558,4,0.11580083019851932
18,W,alfalfa,A4,2,low,2017,1,0.4284625597192373,2.333926214358798,5,0.08569251194384746
19,E,corn,C2,18.532,conv,2017,1,0.35870742159501,2.7877873157835746,7,0.051243917370715715
19,W,corn,C2,18.532,low,2017,1,0.8896550001069737,1.1240312254522913,4,0.22241375002674343
21,E,oat,O4,2,conv,2017,2,0.22958081848343795,4.355764591335579,8,0.028697602310429744
21,W,oat,O4,2,low,2017,2,0.43512516181694727,2.298189320572295,10,0.04351251618169473
22,E,soybean,S4,18.532,low,2017,2,0.40565552095000207,2.4651457908377687,8,0.05070694011875026
22,W,soybean,S4,18.532,conv,2017,2,0.9750040057683063,1.0256368118323749,2,0.48750200288415313
23,E,corn,C3,18.532,low,2017,2,0.6112495550017799,1.6359930110658127,2,0.30562477750088995
23,W,corn,C3,18.532,conv,2017,2,0.416013687760365,2.403767062049234,3,0.13867122925345501
24,E,soybean,S2,18.532,low,2017,2,0.49516633416151173,2.019523402561983,7,0.07073804773735883
24,W,soybean,S2,18.532,conv,2017,2,0.3498558282944698,2.858320254017066,6,0.05830930471574497
25,E,soybean,S3,18.532,low,2017,2,0.8036512094334366,1.2443209047180888,3,0.2678837364778122
25,W,soybean,S3,18.532,conv,2017,2,0.7934572654732054,1.260307320273406,3,0.26448575515773515
26,E,oat,O3,2,low,2017,2,0.5390659573337194,1.855060566143171,3,0.17968865244457313
26,W,oat,O3,2,conv,2017,2,0.6914961073337947,1.4461397387408375,3,0.23049870244459825
27,E,corn,C2,18.532,low,2017,2,0.28382191644134375,3.5233360853113176,7,0.040545988063049106
27,W,corn,C2,18.532,conv,2017,2,0.46722859860675203,2.1402799464372273,5,0.0934457197213504
28,E,alfalfa,A4,2,low,2017,2,0.9588300222333234,1.0429377228622678,3,0.3196100074111078
28,W,alfalfa,A4,2,conv,2017,2,0.7440742568422863,1.3439518849151095,5,0.14881485136845726
29,E,corn,C4,18.532,low,2017,2,0.36449323114761745,2.7435351730715856,4,0.09112330778690436
29,W,corn,C4,18.532,conv,2017,2,1,1,1,1
31,E,oat,O4,2,low,2017,3,0.3425629790729903,2.9191712505131173,9,0.03806255323033226
31,W,oat,O4,2,conv,2017,3,0.5784509276213757,1.7287551151695078,8,0.07230636595267197
32,E,corn,C4,18.532,conv,2017,3,0.7419659735349718,1.3477707006369424,2,0.3709829867674859
32,W,corn,C4,18.532,low,2017,3,0.5652006172839507,1.7692832764505118,2,0.28260030864197533
33,E,soybean,S3,18.532,low,2017,3,0,0,0,0
33,W,soybean,S3,18.532,conv,2017,3,0.3175121918699703,3.149485360264612,6,0.05291869864499505
34,E,soybean,S2,18.532,conv,2017,3,0.5099441157133465,1.960999194198227,2,0.25497205785667326
34,W,soybean,S2,18.532,low,2017,3,0.3563614456763878,2.806139699265058,4,0.08909036141909694
35,E,corn,C2,18.532,conv,2017,3,0.5426853745541024,1.8426883179257416,3,0.18089512485136747
35,W,corn,C2,18.532,low,2017,3,1,1,1,1
36,E,oat,O3,2,conv,2017,3,0.6106799482803119,1.6375189701512582,8,0.07633499353503899
36,W,oat,O3,2,low,2017,3,0.35143223271767404,2.845498810017686,5,0.0702864465435348
37,E,alfalfa,A4,2,conv,2017,3,0.4336354854478162,2.3060843347893867,4,0.10840887136195405
37,W,alfalfa,A4,2,low,2017,3,0.34160133062920467,2.9273890653706562,7,0.04880019008988638
38,E,corn,C3,18.532,low,2017,3,0.5286531084760716,1.8915995838606952,4,0.1321632771190179
38,W,corn,C3,18.532,conv,2017,3,0.6564205688020682,1.5234135667396065,2,0.3282102844010341
39,E,soybean,S4,18.532,conv,2017,3,1,1,1,1
39,W,soybean,S4,18.532,low,2017,3,0.3262911551367054,3.0647474939399824,5,0.06525823102734109
41,E,soybean,S4,18.532,conv,2017,4,0.43302680157367046,2.309325880905944,4,0.10825670039341762
41,W,soybean,S4,18.532,low,2017,4,0.7672340068774641,1.303383310744868,8,0.09590425085968302
42,E,soybean,S3,18.532,conv,2017,4,0.7453599205365022,1.3416337160713048,5,0.14907198410730044
42,W,soybean,S3,18.532,low,2017,4,0.569714803078316,1.7552642034167658,3,0.18990493435943867
43,E,oat,O4,2,low,2017,4,0.433909373698459,2.3046287096229916,8,0.054238671712307375
43,W,oat,O4,2,conv,2017,4,0.23908780871875376,4.1825637424128566,8,0.02988597608984422
44,E,soybean,S2,18.532,conv,2017,4,0.4491084351089293,2.226633752174916,8,0.05613855438861616
44,W,soybean,S2,18.532,low,2017,4,0.7915959485675446,1.2632707403437058,4,0.19789898714188614
45,E,corn,C2,18.532,conv,2017,4,0.5941511510575385,1.6830734034935135,3,0.19805038368584615
45,W,corn,C2,18.532,low,2017,4,0.5412310536888238,1.847639733870373,2,0.2706155268444119
46,E,alfalfa,A4,2,conv,2017,4,0.4263263501546776,2.3456209067001956,7,0.06090376430781109
46,W,alfalfa,A4,2,low,2017,4,0.6544673297566972,1.5279601510005962,6,0.10907788829278287
47,E,oat,O3,2,low,2017,4,0.6955144763145483,1.4377845955110606,3,0.23183815877151612
47,W,oat,O3,2,conv,2017,4,0.6186503142851293,1.6164220350482368,5,0.12373006285702585
48,E,corn,C3,18.532,conv,2017,4,0.9869340073104282,1.0132389730141926,2,0.4934670036552141
48,W,corn,C3,18.532,low,2017,4,0.5458679963513178,1.8319447314812083,3,0.18195599878377258
49,E,corn,C4,18.532,conv,2017,4,0.48117156455912696,2.078260798549576,6,0.08019526075985449
49,W,corn,C4,18.532,low,2017,4,0.5069202394875918,1.972696929621169,3,0.1689734131625306
11,E,soybean,S3,18.532,low,2018,1,0.8290814053680198,1.206154176809829,5,0.16581628107360397
11,W,soybean,S3,18.532,conv,2018,1,0.8814274581436572,1.134523313020069,7,0.12591820830623673
12,E,alfalfa,A4,2,low,2018,1,0.4251448116128523,2.3521397243596742,7,0.060734973087550326
12,W,alfalfa,A4,2,conv,2018,1,0.6292416601053294,1.5892145472895245,7,0.08989166572933278
13,E,corn,C2,18.532,conv,2018,1,0.4432798454688245,2.255911271901779,7,0.06332569220983207
13,W,corn,C2,18.532,low,2018,1,0.6585761868343735,1.518427207043081,7,0.0940823124049105
14,E,soybean,S4,18.532,conv,2018,1,0.33066972976300396,3.024165534343634,5,0.06613394595260079
14,W,soybean,S4,18.532,low,2018,1,0.5830992065231023,1.7149740366871518,7,0.08329988664615748
15,E,corn,C3,18.532,low,2018,1,0.42202552298817086,2.369524935173244,4,0.10550638074704272
15,W,corn,C3,18.532,conv,2018,1,0.36034268530626684,2.775136115639666,3,0.12011422843542229
16,E,oat,O3,2,low,2018,1,0.3248116700157272,3.078707116501019,9,0.03609018555730302
16,W,oat,O3,2,conv,2018,1,0.21549246687647652,4.640533446457852,10,0.02154924668764765
17,E,oat,O4,2,conv,2018,1,0.20888191114783183,4.787393961041801,9,0.023209101238647983
17,W,oat,O4,2,low,2018,1,0.5545446286003114,1.8032813743485938,7,0.07922066122861592
18,E,corn,C4,18.532,conv,2018,1,0.5050749124239942,1.979904317956961,5,0.10101498248479883
18,W,corn,C4,18.532,low,2018,1,0.9125913957948862,1.0957806578145295,5,0.18251827915897725
19,E,soybean,S2,18.532,conv,2018,1,0.7244806778896946,1.3802990618229496,7,0.1034972396985278
19,W,soybean,S2,18.532,low,2018,1,0.4750200330208492,2.105174372627162,8,0.05937750412760615
21,E,alfalfa,A4,2,conv,2018,2,0.5012997333287057,1.9948145460996947,4,0.12532493333217642
21,W,alfalfa,A4,2,low,2018,2,0.44880609418282547,2.228133737401169,5,0.0897612188365651
22,E,oat,O4,2,low,2018,2,0.36616453625572287,2.7310127032663196,9,0.0406849484728581
22,W,oat,O4,2,conv,2018,2,0.2358693821330295,4.239634627253161,10,0.02358693821330295
23,E,soybean,S3,18.532,low,2018,2,0.2228393030853912,4.487538715810844,6,0.037139883847565204
23,W,soybean,S3,18.532,conv,2018,2,0.5215107899947637,1.9175058679227721,5,0.10430215799895275
24,E,corn,C2,18.532,conv,2018,2,0.8776810589118238,1.1393660485733064,3,0.29256035297060795
24,W,corn,C2,18.532,low,2018,2,0.5874693840812137,1.7022163658178937,7,0.08392419772588768
25,E,oat,O3,2,conv,2018,2,0.3702731667229908,2.7007088006140103,5,0.07405463334459816
25,W,oat,O3,2,low,2018,2,0.32445383832485225,3.0821025424232213,5,0.06489076766497046
26,E,corn,C3,18.532,low,2018,2,0.7563542338131748,1.322131820375329,7,0.10805060483045355
26,W,corn,C3,18.532,conv,2018,2,0.9984555993779398,1.0015467894847025,2,0.4992277996889699
27,E,soybean,S2,18.532,low,2018,2,0.3685499554676331,2.7133363745252774,5,0.07370999109352662
27,W,soybean,S2,18.532,conv,2018,2,0.661935792180945,1.5107205439143903,4,0.16548394804523625
28,E,corn,C4,18.532,low,2018,2,0.4072146241615423,2.4557074836371773,7,0.058173517737363185
28,W,corn,C4,18.532,conv,2018,2,0.6391848830214875,1.5644925694626965,3,0.21306162767382916
29,E,soybean,S4,18.532,low,2018,2,0.32866629049682516,3.0425998312402522,8,0.041083286312103146
29,W,soybean,S4,18.532,conv,2018,2,0.872017470153711,1.1467660158502666,6,0.1453362450256185
31,E,alfalfa,A4,2,low,2018,3,0.51314944,1.9487500561240019,6,0.08552490666666666
31,W,alfalfa,A4,2,conv,2018,3,0.28909311946581506,3.4590930487996236,8,0.03613663993322688
32,E,soybean,S4,18.532,conv,2018,3,0.44255198868650797,2.2596215259770833,6,0.07375866478108466
32,W,soybean,S4,18.532,low,2018,3,0.5778348685147506,1.7305982288164263,6,0.0963058114191251
33,E,oat,O3,2,conv,2018,3,0.6499522913701951,1.5385744665840824,4,0.16248807284254876
33,W,oat,O3,2,low,2018,3,0.49493504672757815,2.020467143338951,6,0.08248917445459636
34,E,corn,C2,18.532,conv,2018,3,0.36508674853418144,2.7390750390557503,6,0.06084779142236357
34,W,corn,C2,18.532,low,2018,3,0.853557530622273,1.1715671927479396,3,0.284519176874091
35,E,soybean,S2,18.532,conv,2018,3,0.42718895677802843,2.340884482460088,6,0.07119815946300474
35,W,soybean,S2,18.532,low,2018,3,0.7597303274252654,1.316256524060335,4,0.18993258185631634
36,E,corn,C3,18.532,conv,2018,3,0.3865863582981254,2.586744147937124,4,0.09664658957453134
36,W,corn,C3,18.532,low,2018,3,0.41216988436161656,2.4261840516291864,8,0.05152123554520207
37,E,corn,C4,18.532,conv,2018,3,0.16611892739356413,6.019783631463193,11,0.015101720672142193
37,W,corn,C4,18.532,low,2018,3,0.4416992218787044,2.263984065325366,6,0.07361653697978407
38,E,soybean,S3,18.532,low,2018,3,0.8548567792909691,1.1697865937606704,7,0.12212239704156702
38,W,soybean,S3,18.532,conv,2018,3,0.3514634257401307,2.8452462667890575,6,0.058577237623355115
39,E,oat,O4,2,conv,2018,3,0.3259440407501649,3.068011299419635,7,0.0465634343928807
39,W,oat,O4,2,low,2018,3,0.28639554859351507,3.4916743815013445,8,0.035799443574189384
41,E,oat,O4,2,conv,2018,4,0.6363380085034926,1.5714918591013431,4,0.15908450212587316
41,W,oat,O4,2,low,2018,4,0.34743859142519234,2.878206464912266,7,0.04963408448931319
42,E,oat,O3,2,low,2018,4,0.47120349077053214,2.122225364597272,5,0.09424069815410643
42,W,oat,O3,2,conv,2018,4,0.5506836254410772,1.8159247048594136,5,0.11013672508821544
43,E,alfalfa,A4,2,low,2018,4,0.48539079620160697,2.0601956358164033,3,0.16179693206720233
43,W,alfalfa,A4,2,conv,2018,4,0.6387040889205391,1.5656702647544967,2,0.31935204446026955
44,E,corn,C2,18.532,low,2018,4,0.9703904607196355,1.0305130156147724,6,0.1617317434532726
44,W,corn,C2,18.532,conv,2018,4,0.5246526166674165,1.9060230869560533,4,0.13116315416685412
45,E,soybean,S2,18.532,conv,2018,4,1,1,1,1
45,W,soybean,S2,18.532,low,2018,4,1,1,1,1
46,E,corn,C4,18.532,conv,2018,4,0.5394450919029891,1.8537567863901052,6,0.08990751531716484
46,W,corn,C4,18.532,low,2018,4,0.5380257852347587,1.8586469783481965,8,0.06725322315434484
47,E,corn,C3,18.532,low,2018,4,0.673559496575711,1.4846498417494967,9,0.07483994406396789
47,W,corn,C3,18.532,conv,2018,4,0.6460094390142587,1.547964998043826,3,0.21533647967141956
48,E,soybean,S3,18.532,conv,2018,4,0.8099602621482948,1.2346284709667783,5,0.16199205242965894
