Plot,Side,Crop,Crop_ID,sample area (m^2),Corn_weed_management,Year,Block,DIGSA,SETFA,SETLU,PANCA,ECHCG,ERBVI,CYPES,AMATA,CHEAL,SOLPT,PHYSU,POLPY,ABUTH,TAROF,EPHHT,CIRAR,SONAR,PLAMA,PANDI,EPHMA,FESSP,CIRVU,MORAL,AMARE,AMBEL,POROL,POPDE,BROTE,CCHPA,EUPHY,AGRRE,DACGL,CONAR,ARFMI,Total
11,E,corn,C3,18.532,low,2017,1,0,0.7014893157781136,0,0,0,0,0,0,0.26980358299158214,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.025253615368012
11,W,corn,C3,18.532,conv,2017,1,0.05396071659831642,0.2158428663932657,0,0,0,0,0,0.26980358299158214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5396071659831643
12,E,oat,O4,2,low,2017,1,0,0,51.5,0,0,0,0,2,16,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
12,W,oat,O4,2,conv,2017,1,5.5,0,32,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.5
13,E,soybean,S2,18.532,conv,2017,1,0.05396071659831642,0,0,0,0,0.05396071659831642,0,0.7014893157781136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8094107489747464
13,W,soybean,S2,18.532,low,2017,1,0,2.6440751133175047,0,0,0.05396071659831642,0,0,0.48564644938484786,0.05396071659831642,0,0,0,0.10792143319663285,0,0,0,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.399525145693935
14,E,corn,C4,18.532,conv,2017,1,0,0.37772501618821497,0.26980358299158214,0,0,0,0,0.26980358299158214,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9712928987696957
14,W,corn,C4,18.532,low,2017,1,0,0.26980358299158214,0,0,0,0,0,0.2158428663932657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48564644938484786
15,E,oat,O3,2,low,2017,1,0,3,0.5,0,0,0,0,5,13,0,0.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5
15,W,oat,O3,2,conv,2017,1,0,2.5,1.5,0,0,0,0,5.5,15.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
16,E,soybean,S3,18.532,low,2017,1,0,0.9173321821713792,0,0,0,0,0,0.37772501618821497,1.6188214979494928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.913878696309087
16,W,soybean,S3,18.532,conv,2017,1,0,0.10792143319663285,0.05396071659831642,0,0,0,0,0.16188214979494928,0.10792143319663285,0.05396071659831642,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5396071659831643
17,E,soybean,S4,18.532,conv,2017,1,0,0,0,0,0,0,0,0,0.10792143319663285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10792143319663285
17,W,soybean,S4,18.532,low,2017,1,0,0.5396071659831643,0,0,0,0,0,0.05396071659831642,0,0,0,0,0.16188214979494928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7554500323764299
18,E,alfalfa,A4,2,conv,2017,1,51,0,5.5,0,0,0,0,0,6.5,0,0,0,0,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.5
18,W,alfalfa,A4,2,low,2017,1,17,0,19,0,0,2,0,0,1.5,0,0,0,0,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
19,E,corn,C2,18.532,conv,2017,1,0.10792143319663285,3.3455644290956186,1.9965465141377077,0,0,0,0,1.025253615368012,0.05396071659831642,0,0,0,0,0.05396071659831642,0,0.26980358299158214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.853011007986186
19,W,corn,C2,18.532,low,2017,1,0.05396071659831642,2.26635009712929,0,0,0,0,0,0.05396071659831642,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4282322469242392
21,E,oat,O4,2,conv,2017,2,18.5,0,23,0,0,0.5,0,36,39,0.5,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.5
21,W,oat,O4,2,low,2017,2,3,0.5,130.5,0,0,3,0,8.5,51,0,0.5,0.5,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.5
22,E,soybean,S4,18.532,low,2017,2,0,0.4316857327865314,0.05396071659831642,0,0,0,2.6440751133175047,0.05396071659831642,0.05396071659831642,0.10792143319663285,0,0.10792143319663285,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5074465788905678
22,W,soybean,S4,18.532,conv,2017,2,0,0,0,0,0,0,0,0,0,0,0.05396071659831642,0,0.16188214979494928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2158428663932657
23,E,corn,C3,18.532,low,2017,2,0,0,0.05396071659831642,0,0,0,0,0,0.32376429958989855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37772501618821497
23,W,corn,C3,18.532,conv,2017,2,0.16188214979494928,0,0.32376429958989855,0,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5396071659831643
24,E,soybean,S2,18.532,low,2017,2,0.10792143319663285,0.2158428663932657,0.10792143319663285,0,0,0,0,0.37772501618821497,0.7014893157781136,0.05396071659831642,0,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6188214979494928
24,W,soybean,S2,18.532,conv,2017,2,0,1.6188214979494928,0.10792143319663285,0,0,0,0,0.16188214979494928,4.154975178070365,0.16188214979494928,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.259443125404705
25,E,soybean,S3,18.532,low,2017,2,0,0.10792143319663285,0.05396071659831642,0,0,0,0,0,0.5935678825814806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7554500323764299
25,W,soybean,S3,18.532,conv,2017,2,0,0.4316857327865314,0,0,0,0,0,0.16188214979494928,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6475285991797971
26,E,oat,O3,2,low,2017,2,1,0,65,0,0,0,0,0,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.5
26,W,oat,O3,2,conv,2017,2,0,0,3,0,0,0,0,4,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5
27,E,corn,C2,18.532,low,2017,2,0.16188214979494928,0.6475285991797971,0.8633714655730628,0,0,0.26980358299158214,0,0.5396071659831643,0.32376429958989855,0,0,0,0,0,0,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8599179797107706
27,W,corn,C2,18.532,conv,2017,2,0.7554500323764299,0.48564644938484786,0.32376429958989855,0,0,0,0,0.37772501618821497,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9965465141377077
28,E,alfalfa,A4,2,low,2017,2,0.5,0,3,0,0,0,0,0,0,0,0,0,0,66.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
28,W,alfalfa,A4,2,conv,2017,2,3.5,0,38,0,0,0,0,1,0,0,0,0,0,43,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
29,E,corn,C4,18.532,low,2017,2,0,0.16188214979494928,0,0,0,0.05396071659831642,0,0.10792143319663285,0.16188214979494928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48564644938484786
29,W,corn,C4,18.532,conv,2017,2,0,0.10792143319663285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10792143319663285
31,E,oat,O4,2,low,2017,3,2,42.5,1,0,0,0.5,0,41,44.5,1,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.5
31,W,oat,O4,2,conv,2017,3,1,38,0,0,0.5,0,0,12,7.5,0.5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.5
32,E,corn,C4,18.532,conv,2017,3,0,0.26980358299158214,0,0,0,0,0,0.26980358299158214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5396071659831643
32,W,corn,C4,18.532,low,2017,3,0,0,0,0,0,0,0,0.05396071659831642,0,0.2158428663932657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26980358299158214
33,E,soybean,S3,18.532,low,2017,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,W,soybean,S3,18.532,conv,2017,3,0,0.26980358299158214,0.05396071659831642,0,0,0,0,0.10792143319663285,0.16188214979494928,0,0.10792143319663285,0,0.2158428663932657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9173321821713792
34,E,soybean,S2,18.532,conv,2017,3,0,0,0,0,0,0,0,0,0.26980358299158214,0,0.10792143319663285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37772501618821497
34,W,soybean,S2,18.532,low,2017,3,0,1.6188214979494928,0.05396071659831642,0,0,0,0,0.4316857327865314,0.7014893157781136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8059572631124543
35,E,corn,C2,18.532,conv,2017,3,0,0.10792143319663285,0.8633714655730628,0,0,0,0,0.10792143319663285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0792143319663285
35,W,corn,C2,18.532,low,2017,3,0,0.6475285991797971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6475285991797971
36,E,oat,O3,2,conv,2017,3,135,13.5,5,0.5,1,0,0,0.5,6.5,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187
36,W,oat,O3,2,low,2017,3,18,34,0,0,0,0.5,0,0,0.5,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
37,E,alfalfa,A4,2,conv,2017,3,0,0,3,0,0,0,0,4,18.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
37,W,alfalfa,A4,2,low,2017,3,0,22,2,0,0,0,0,13,23,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.5
38,E,corn,C3,18.532,low,2017,3,0,0.8633714655730628,0.10792143319663285,0,0,0,0,0.05396071659831642,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0792143319663285
38,W,corn,C3,18.532,conv,2017,3,0,0.10792143319663285,0,0,0,0,0,0.10792143319663285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2158428663932657
39,E,soybean,S4,18.532,conv,2017,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05396071659831642
39,W,soybean,S4,18.532,low,2017,3,0,1.0792143319663285,0.2158428663932657,0,0,0,0,0.2158428663932657,0.05396071659831642,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6188214979494928
41,E,soybean,S4,18.532,conv,2017,4,0,0,0.10792143319663285,0,0,0,1.5648607813511763,0.05396071659831642,0.10792143319663285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8346643643427585
41,W,soybean,S4,18.532,low,2017,4,0.05396071659831642,0.26980358299158214,0.10792143319663285,0,0,0,0.7014893157781136,0.05396071659831642,0,0,0,0,0.26980358299158214,0.05396071659831642,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5648607813511763
42,E,soybean,S3,18.532,conv,2017,4,0,1.6188214979494928,0.5396071659831643,0,0,0,0.05396071659831642,2.1044679473343404,2.8059572631124543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.122814590977768
42,W,soybean,S3,18.532,low,2017,4,0,0.2158428663932657,0,0,0,0,0,0.10792143319663285,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37772501618821497
43,E,oat,O4,2,low,2017,4,1,66.5,1.5,0,1,2,0,15.5,55,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.5
43,W,oat,O4,2,conv,2017,4,2.5,26,18,0,0.5,0,0,7,73,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
44,E,soybean,S2,18.532,conv,2017,4,0.2158428663932657,23.09518670407943,0.2158428663932657,0,0,0.16188214979494928,0,2.4821929635225555,3.3455644290956186,0.05396071659831642,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.624433412475717
44,W,soybean,S2,18.532,low,2017,4,0,0,0.05396071659831642,0,0,0,0,1.5109000647528599,1.888625080941075,0,0,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5074465788905678
45,E,corn,C2,18.532,conv,2017,4,0.16188214979494928,0,0.6475285991797971,0,0,0,0,0.32376429958989855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.133175048564645
45,W,corn,C2,18.532,low,2017,4,0,0,0.32376429958989855,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37772501618821497
46,E,alfalfa,A4,2,conv,2017,4,11,56.5,4,0,0.5,0,0,0.5,10.5,0,0,0,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.5
46,W,alfalfa,A4,2,low,2017,4,4.5,92.5,6.5,0,0,0,0,0,3.5,0,0,0,0,13,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,120.5
47,E,oat,O3,2,low,2017,4,0,8,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5
47,W,oat,O3,2,conv,2017,4,0,0.5,0,0,0,0,0,2.5,0.5,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
48,E,corn,C3,18.532,conv,2017,4,0,0,12.84265055039931,0,0,0,0,0.10792143319663285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.950571983595943
48,W,corn,C3,18.532,low,2017,4,0,0.7014893157781136,0,0,0,0.05396071659831642,0,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8094107489747464
49,E,corn,C4,18.532,conv,2017,4,0,0.26980358299158214,1.2410964817612777,0,0.05396071659831642,0.05396071659831642,0,0.9712928987696957,0,0,0,0,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6440751133175047
49,W,corn,C4,18.532,low,2017,4,0,0.26980358299158214,0.5396071659831643,0,0,0,0,0.37772501618821497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1871357651629613
11,E,soybean,S3,18.532,low,2018,1,0,0.2158428663932657,0,0,0,0,0,0,0.16188214979494928,0.05396071659831642,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,0.5396071659831643
11,W,soybean,S3,18.532,conv,2018,1,0,0.10792143319663285,0.16188214979494928,0,0,0.05396071659831642,0,0.26980358299158214,0,0,0,0,0,0.10792143319663285,0.05396071659831642,0,0,0,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0.8094107489747464
12,E,alfalfa,A4,2,low,2018,1,11,31,2,0,0,0,0,1.5,1.5,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,51
12,W,alfalfa,A4,2,conv,2018,1,10.5,34,0.5,0,0,0,0,4.5,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
13,E,corn,C2,18.532,conv,2018,1,0.2158428663932657,1.888625080941075,0.48564644938484786,0,0,0.5935678825814806,0,0.05396071659831642,0,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,3.3455644290956186
13,W,corn,C2,18.532,low,2018,1,0,10.900064752859919,0.7554500323764299,0,0,0,0,0.8633714655730628,0.05396071659831642,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0.10792143319663285,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,12.788689833800992
14,E,soybean,S4,18.532,conv,2018,1,0.10792143319663285,0.26980358299158214,0.16188214979494928,0,0,0,0,0.32376429958989855,0,0,0,0,0,0.10792143319663285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9712928987696957
14,W,soybean,S4,18.532,low,2018,1,0.16188214979494928,0.37772501618821497,0,0.05396071659831642,0,0,0,0.4316857327865314,0.16188214979494928,0,0,0,0.10792143319663285,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3490179149579107
15,E,corn,C3,18.532,low,2018,1,0,0.5396071659831643,0,0,0,0,0,0,0.10792143319663285,0.5396071659831643,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2410964817612777
15,W,corn,C3,18.532,conv,2018,1,0,0.26980358299158214,0.48564644938484786,0,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8094107489747464
16,E,oat,O3,2,low,2018,1,0,9,0.5,0,0,6.5,0,48.5,48.5,1.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,116
16,W,oat,O3,2,conv,2018,1,3,2,3.5,0,11,0,0,19.5,21,0.5,0,0,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5
17,E,oat,O4,2,conv,2018,1,2.5,1.5,0.5,0,0.5,0,0,8.5,7.5,1.5,0,0,0,6.5,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5
17,W,oat,O4,2,low,2018,1,0,3.5,0,0,0,0,0,32,2,0.5,0,0,3.5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,44.5
18,E,corn,C4,18.532,conv,2018,1,12.68076840060436,7.176775307576085,0.32376429958989855,0,0,0.32376429958989855,0,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.55903302395856
18,W,corn,C4,18.532,low,2018,1,0.26980358299158214,3.3455644290956186,0,0,0,0,0,0.26980358299158214,0,0,0,0,0.05396071659831642,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9930930282754153
19,E,soybean,S2,18.532,conv,2018,1,0.8633714655730628,0.2158428663932657,1.5648607813511763,0.05396071659831642,0.2158428663932657,0,0,1.6188214979494928,0,0,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.586660910856896
19,W,soybean,S2,18.532,low,2018,1,0.7554500323764299,8.525793222533995,0.05396071659831642,0.10792143319663285,0,0.05396071659831642,0,4.478739477660263,0.05396071659831642,0,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.083747032160588
21,E,alfalfa,A4,2,conv,2018,2,21,0.5,0,0,0,0,0,0.5,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5
21,W,alfalfa,A4,2,low,2018,2,22.5,0,0,0,0,0,0,1,0,0,0,0,0.5,7.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5
22,E,oat,O4,2,low,2018,2,3,29,0,1.5,0,0,1.5,28,12,1,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.5
22,W,oat,O4,2,conv,2018,2,4.5,11.5,0,0,3,0,0,11.5,4.5,4.5,0,0,0.5,1.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
23,E,soybean,S3,18.532,low,2018,2,0,0.37772501618821497,0.32376429958989855,0,0.16188214979494928,0,0,0.2158428663932657,0.05396071659831642,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1871357651629613
23,W,soybean,S3,18.532,conv,2018,2,0.2158428663932657,0,0.10792143319663285,0,0,0.4316857327865314,0,0.32376429958989855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,1.133175048564645
24,E,corn,C2,18.532,conv,2018,2,0.16188214979494928,3.453485862292251,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.669328728685517
24,W,corn,C2,18.532,low,2018,2,0,1.6727822145478093,0.4316857327865314,0,0,0,0,0.05396071659831642,1.6727822145478093,0,0.05396071659831642,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,3.9930930282754153
25,E,oat,O3,2,conv,2018,2,0,1,0,0,0,0,0,27.5,28,1.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.5
25,W,oat,O3,2,low,2018,2,0,37.5,0,0,0,0,0,7,31.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5
26,E,corn,C3,18.532,low,2018,2,0.05396071659831642,5.342110943233326,0.2158428663932657,0,0,0,0,0.05396071659831642,0.5396071659831643,0.16188214979494928,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.421325275199655
26,W,corn,C3,18.532,conv,2018,2,0,0.5396071659831643,0,0,0,0,0,0,0,0,0,0,0,0.05396071659831642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5935678825814806
27,E,soybean,S2,18.532,low,2018,2,0,0.26980358299158214,0.32376429958989855,0.26980358299158214,0,0,0,0.4316857327865314,0,0,0,0,0,0.10792143319663285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4029786315562272
27,W,soybean,S2,18.532,conv,2018,2,1.888625080941075,0.2158428663932657,0.16188214979494928,0,0,0,0,0.37772501618821497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6440751133175047
